"","pop","outcome","exposure","label","gamma","alpha","beta"
"1","All","Latent Internalizing","Threat","Reward Sensitivity (RT contrast)","0.22(0.09,0.35)**","-0.2(-0.33,-0.07)**","-0.15(-0.27,-0.03)*"
"2","All","Latent Internalizing","Threat","Tanner Stage","0.22(0.09,0.35)**","-0.01(-0.13,0.11)","0.19(0.06,0.32)**"
"3","Boys","Latent Internalizing","Threat","Reward Sensitivity (RT contrast)","0.17(0,0.34)*","-0.19(-0.35,-0.03)*","-0.11(-0.29,0.07)"
"4","Boys","Latent Internalizing","Threat","Tanner Stage","0.17(0,0.34)*","0.11(-0.05,0.27)","0.15(-0.04,0.34)"
"5","Girls","Latent Internalizing","Threat","Reward Sensitivity (RT contrast)","0.29(0.08,0.5)**","-0.2(-0.42,0.02)","-0.17(-0.34,0)"
"6","Girls","Latent Internalizing","Threat","Tanner Stage","0.29(0.08,0.5)**","-0.17(-0.37,0.03)","0.28(0.09,0.47)**"
"7","All","Latent Internalizing","Deprivation","Reward Sensitivity (RT contrast)","0.34(0.2,0.48)***","-0.12(-0.26,0.02)","-0.15(-0.27,-0.03)*"
"8","All","Latent Internalizing","Deprivation","Tanner Stage","0.34(0.2,0.48)***","-0.12(-0.25,0.01)","0.19(0.06,0.32)**"
"9","Boys","Latent Internalizing","Deprivation","Reward Sensitivity (RT contrast)","0.33(0.16,0.5)***","-0.07(-0.24,0.1)","-0.11(-0.29,0.07)"
"10","Boys","Latent Internalizing","Deprivation","Tanner Stage","0.33(0.16,0.5)***","-0.06(-0.22,0.1)","0.15(-0.04,0.34)"
"11","Girls","Latent Internalizing","Deprivation","Reward Sensitivity (RT contrast)","0.32(0.08,0.56)**","-0.21(-0.46,0.04)","-0.17(-0.34,0)"
"12","Girls","Latent Internalizing","Deprivation","Tanner Stage","0.32(0.08,0.56)**","-0.2(-0.42,0.02)","0.28(0.09,0.47)**"
"13","All","Latent Externalizing","Threat","Reward Sensitivity (Total stars)","0.31(0.18,0.44)***","-0.02(-0.15,0.11)","-0.19(-0.31,-0.07)**"
"14","All","Latent Externalizing","Threat","Tanner Stage","0.31(0.18,0.44)***","-0.01(-0.13,0.11)","0.21(0.08,0.34)**"
"15","Boys","Latent Externalizing","Threat","Reward Sensitivity (Total stars)","0.24(0.07,0.41)**","-0.04(-0.23,0.15)","-0.18(-0.35,-0.01)*"
"16","Boys","Latent Externalizing","Threat","Tanner Stage","0.24(0.07,0.41)**","0.11(-0.05,0.27)","0.23(0.03,0.43)*"
"17","Girls","Latent Externalizing","Threat","Reward Sensitivity (Total stars)","0.41(0.23,0.59)***","0(-0.19,0.19)","-0.22(-0.39,-0.05)*"
"18","Girls","Latent Externalizing","Threat","Tanner Stage","0.41(0.23,0.59)***","-0.17(-0.37,0.03)","0.25(0.08,0.42)**"
"19","All","Latent Externalizing","Deprivation","Reward Sensitivity (Total stars)","0.28(0.14,0.42)***","-0.04(-0.19,0.11)","-0.19(-0.31,-0.07)**"
"20","All","Latent Externalizing","Deprivation","Tanner Stage","0.28(0.14,0.42)***","-0.12(-0.25,0.01)","0.21(0.08,0.34)**"
"21","Boys","Latent Externalizing","Deprivation","Reward Sensitivity (Total stars)","0.27(0.09,0.45)**","-0.12(-0.31,0.07)","-0.18(-0.35,-0.01)*"
"22","Boys","Latent Externalizing","Deprivation","Tanner Stage","0.27(0.09,0.45)**","-0.06(-0.22,0.1)","0.23(0.03,0.43)*"
"23","Girls","Latent Externalizing","Deprivation","Reward Sensitivity (Total stars)","0.28(0.06,0.5)*","0.07(-0.15,0.29)","-0.22(-0.39,-0.05)*"
"24","Girls","Latent Externalizing","Deprivation","Tanner Stage","0.28(0.06,0.5)*","-0.2(-0.42,0.02)","0.25(0.08,0.42)**"
