"","AB: Attention bias threat","ER: Adaptation to emotional conflict","ER: Stroop - fear","ER: Stroop - happy","ToM: Accuracy on affective trials","ToM: Accuracy on cognitive trials","FC: Skin conductance response to CS+ vs CS-","PT: Tanner stage","AL: Language ability","AR: Reasoning ability","IC: Reaction time on inhibit trials","IC: Reaction time on switch trials","IC: Accuracy on Stroop task","RS: Reaction time on high- vs low-reward trials","RS: Total stars"
"AB: Attention bias threat",1,-0.04,-0.07,0.08,0.03,0.09,-0.04,-0.02,0.22,0.2,-0.08,-0.08,0.15,0.07,0.13
"ER: Adaptation to emotional conflict",-0.04,1,-0.02,0.01,0,-0.09,0.02,-0.01,0.13,0.05,-0.12,-0.01,0.09,0.05,0.04
"ER: Stroop - fear",-0.07,-0.02,1,0.18,0.03,-0.03,-0.02,0.1,-0.12,-0.01,0.07,0.09,0.11,0.04,0.06
"ER: Stroop - happy",0.08,0.01,0.18,1,0.08,0,0.03,-0.02,-0.05,0.1,-0.07,-0.04,0.01,0.04,0.04
"ToM: Accuracy on affective trials",0.03,0,0.03,0.08,1,0.59,0.11,0.01,0.08,0.04,-0.02,0,0.08,0.02,-0.01
"ToM: Accuracy on cognitive trials",0.09,-0.09,-0.03,0,0.59,1,0.09,0.03,0.15,0.12,0.12,0.02,0.06,0.07,0.01
"FC: Skin conductance response to CS+ vs CS-",-0.04,0.02,-0.02,0.03,0.11,0.09,1,0.07,-0.04,-0.04,-0.09,-0.11,0.13,0.07,-0.01
"PT: Tanner stage",-0.02,-0.01,0.1,-0.02,0.01,0.03,0.07,1,-0.04,-0.01,-0.02,0.06,0.06,-0.08,0.02
"AL: Language ability",0.22,0.13,-0.12,-0.05,0.08,0.15,-0.04,-0.04,1,0.42,-0.13,-0.11,0.32,0.02,0.16
"AR: Reasoning ability",0.2,0.05,-0.01,0.1,0.04,0.12,-0.04,-0.01,0.42,1,-0.17,-0.12,0.17,0.08,0.16
"IC: Reaction time on inhibit trials",-0.08,-0.12,0.07,-0.07,-0.02,0.12,-0.09,-0.02,-0.13,-0.17,1,0.43,-0.18,0.13,-0.03
"IC: Reaction time on switch trials",-0.08,-0.01,0.09,-0.04,0,0.02,-0.11,0.06,-0.11,-0.12,0.43,1,-0.31,0.13,-0.1
"IC: Accuracy on Stroop task",0.15,0.09,0.11,0.01,0.08,0.06,0.13,0.06,0.32,0.17,-0.18,-0.31,1,-0.07,0.29
"RS: Reaction time on high- vs low-reward trials",0.07,0.05,0.04,0.04,0.02,0.07,0.07,-0.08,0.02,0.08,0.13,0.13,-0.07,1,-0.03
"RS: Total stars",0.13,0.04,0.06,0.04,-0.01,0.01,-0.01,0.02,0.16,0.16,-0.03,-0.1,0.29,-0.03,1
